state,county,netprice
Texas,Moore County,2630.9496
Nebraska,Furnas County,2325.1805
Wisconsin,Lafayette County,12930.1014
Kentucky,Barren County,24355.2444
Texas,Carson County,2669.9583
Kansas,McPherson County,12313.1541
West Virginia,Grant County,5167.2645
Mississippi,Madison County,15326.467
Ohio,Warren County,91024.8052
North Carolina,Ashe County,15969.4919
South Dakota,Jackson County,1292.9505
North Dakota,McLean County,18581.4129
Pennsylvania,Armstrong County,30569.961
Tennessee,Henderson County,7238.4052
South Dakota,Jerauld County,336000.0
Wisconsin,Vilas County,26126.2432
West Virginia,Wirt County,971.3455
Texas,Archer County,2108.2595
Minnesota,Mille Lacs County,11798.9067
Iowa,Polk County,355318.6065
Kentucky,McLean County,25184.3248
Kansas,Greeley County,1133.6057
Georgia,Glynn County,34266.1134
Indiana,Fayette County,10882.1426
Colorado,Kiowa County,737.9585
Virginia,Nottoway County,12255.2055
Virginia,Prince George County,30975.8182
Indiana,Allen County,72110.6847
Florida,Palm Beach County,215240.1922
Indiana,Warrick County,99701.1532
Texas,Frio County,3400.3543
North Dakota,Pierce County,1082307.6923
Illinois,Randolph County,5413.9438
Mississippi,Pearl River County,7920.137
Illinois,Saline County,13460.8002
Missouri,DeKalb County,12462.9621
Wyoming,Washakie County,3536.1207
Missouri,Jackson County,86243.3985
Idaho,Benewah County,13896.748
Georgia,Pulaski County,7935.4241
Kansas,Greenwood County,2582.0816
Texas,Madison County,10625.3274
Oklahoma,Love County,8891.087
Texas,Concho County,1997.3597
Georgia,Johnson County,3293.934
Tennessee,Jefferson County,38368.5295
Arkansas,Carroll County,13868.3782
Indiana,Madison County,53977.0099
Ohio,Guernsey County,21670.8056
Minnesota,Wabasha County,80002.842
Wisconsin,Calumet County,80086.4064
Nebraska,Saunders County,36694.7707
Kentucky,Menifee County,5455.1425
Colorado,Fremont County,8123.2218
Virginia,Chesapeake City County,104839.084
Colorado,Gunnison County,5362.6341
Illinois,Bureau County,31534.4437
Arizona,Yavapai County,26071.8633
Wyoming,Weston County,3962.613
Oklahoma,Coal County,2931.8486
Pennsylvania,Lackawanna County,36120.8558
Pennsylvania,Cambria County,25885.1559
Texas,Morris County,4511.797
Texas,San Patricio County,44630.0887
New Mexico,Torrance County,934.9362
Arkansas,Little River County,4081.2964
West Virginia,Berkeley County,31900.0385
Michigan,Arenac County,19470.4383
Minnesota,Stearns County,45851.4591
Kentucky,Owsley County,947.4731
Virginia,Prince William County,301801.5311
Minnesota,Pennington County,4016.4956
North Carolina,Wilson County,21939.2321
Georgia,Oglethorpe County,9215.0129
Florida,Sarasota County,195087.0995
Nebraska,Dawson County,2377.8516
Michigan,Oscoda County,7668.3066
Pennsylvania,Schuylkill County,31924.717
Kentucky,Montgomery County,23649.4215
Michigan,Iosco County,13674.3395
Kansas,Geary County,14415.2823
Alabama,Shelby County,28316.057
Alabama,Saint Clair County,11126.5341
Ohio,Mercer County,165805.6411
Florida,Okaloosa County,34252.9645
Michigan,Gogebic County,10220.8766
Georgia,Wheeler County,3492.4772
North Carolina,Pitt County,30145.6468
Arkansas,Sevier County,3610.3879
Texas,Real County,3462.9137
Texas,Bee County,4819.7763
Michigan,Muskegon County,65985.2288
Oklahoma,Pawnee County,4675.9267
Kansas,Decatur County,2727.1792
West Virginia,Boone County,3179.5313
Texas,Bandera County,8777.9386
Texas,Fort Bend County,44782.0435
Louisiana,Lafourche Parish,38626.4993
Michigan,Cass County,28613.6873
Virginia,Salem County,179204.3478
Minnesota,Roseau County,6697.1334
Oklahoma,Murray County,12682.1751
Texas,Calhoun County,23193.437
Montana,Chouteau County,1075.7874
Virginia,Petersburg County,224077.6728
Mississippi,Kemper County,2108.9373
Kansas,Graham County,3902.4163
Mississippi,Stone County,9040.415
West Virginia,Fayette County,3890.3442
North Carolina,Cherokee County,10465.0632
Louisiana,La Salle Parish,3902.5857
Louisiana,Concordia Parish,5117.5572
Idaho,Elmore County,9403.052
Tennessee,Giles County,14407.6428
Indiana,Sullivan County,15213.7528
Wisconsin,Portage County,31074.9299
Texas,Freestone County,4579.907
South Carolina,Fairfield County,6440.2379
Missouri,Cole County,101527.8019
Iowa,Butler County,13594.4653
Georgia,Hart County,32706.2757
Virginia,Montgomery County,16498.4196
Mississippi,Itawamba County,7067.9419
South Carolina,Oconee County,30886.1545
Texas,Willacy County,8161.2478
Virginia,Pulaski County,8214.8745
Iowa,Jefferson County,35641.2119
Alabama,Winston County,16078.6504
Missouri,Linn County,5300.484
Alabama,Escambia County,7758.8251
Tennessee,Moore County,12744.4895
Nebraska,Platte County,81877.0892
Ohio,Lake County,83832.99
Kentucky,Daviess County,18184.5906
Idaho,Nez Perce County,57815.6471
Iowa,Lyon County,26917.173
Alabama,Walker County,8945.8534
West Virginia,Marion County,28827.6112
Mississippi,Clarke County,4293.8443
Texas,Schleicher County,2184.5658
South Dakota,Spink County,5000.9497
Texas,Starr County,3159.1825
Texas,Jasper County,12268.0848
Ohio,Williams County,8574.5232
North Dakota,Sheridan County,24100.1267
Texas,Comal County,96020.7561
Wisconsin,Waushara County,9141.1555
Iowa,Mitchell County,102925.4066
Illinois,Mercer County,13045.0088
Oklahoma,Caddo County,5824.5447
Oklahoma,Garfield County,13622.6825
West Virginia,Summers County,6413.4632
Missouri,Sainte Genevieve County,9607.7437
New York,Richmond County,7192.142
Missouri,Madison County,3846.7948
Texas,Hamilton County,7075.2981
Arkansas,Clark County,4868.3568
Texas,Dickens County,954.9161
Ohio,Champaign County,42222.933
Texas,Burleson County,11590.1714
Pennsylvania,Clearfield County,4498.0728
Texas,Atascosa County,12139.4234
Wyoming,Park County,9177.5963
Minnesota,Rice County,48472.7325
North Dakota,Stark County,29428.9932
Ohio,Holmes County,16084.4132
Missouri,Lincoln County,28323.6225
Georgia,Bacon County,16808.6068
Texas,Armstrong County,3318.9961
Minnesota,Becker County,12812.6816
Georgia,Berrien County,29704.9489
Texas,Sterling County,1855000.0
Colorado,Cheyenne County,56.825
Georgia,Barrow County,71972.1925
North Carolina,Catawba County,54854.1994
Mississippi,Scott County,2696.5511
North Carolina,Clay County,26471.1055
Illinois,Cumberland County,8881.3683
Kentucky,Gallatin County,13438.997
Texas,Wharton County,7130.6817
Missouri,Wayne County,5368.2781
Oklahoma,Muskogee County,9370.5315
Illinois,Hardin County,3918.9428
Georgia,Taliaferro County,3329.3902
Arkansas,Lincoln County,3447.702
Mississippi,Forrest County,8999.0386
Michigan,Menominee County,2575.4474
Georgia,Miller County,3846.8139
Nebraska,Kearney County,5633.0295
